"","county_origin","precipitation","Date"
"204","Malleco",3.65454215419138e-05,20
"205","Marga Marga",8.62280558067141e-06,20
"206","Melipilla",2.07059916495685e-05,20
"207","Osorno",0.000275204578429111,20
"208","Palena",0.000478620714812468,20
"209","Parinacota",0,20
"210","Petorca",2.29577217775538e-05,20
"211","Punilla",4.86234821664766e-05,20
"212","Quillota",2.92062759399414e-06,20
"213","Ranco",0.000174587678754636,20
"214","San Antonio",6.55651074765728e-07,20
"215","San Felipe",6.56197460102703e-05,20
"216","Provincia de Santiago",6.85503075601446e-05,20
"217","Talagante",2.11397800740087e-05,20
"218","Talca",1.51668987733444e-05,20
"219","Tamarugal",1.14683753989671e-06,20
"220","Tierra del Fuego",0.000113613794873556,20
"221","Tocopilla",2.48623618145674e-06,20
"222","Ultima Esperanza",0.000782791277197248,20
"223","Valdivia",0.000174857509652308,20
"224","Provincia de Valparaíso",7.04659354748098e-06,20
"225","Antártica Chilena",6.41153137283034e-05,21
"226","Antofagasta",5.34598364751706e-08,21
"227","Arauco",3.58753731638394e-05,21
"228","Arica",3.84373533371182e-06,21
"229","Aysén",0.000143741568102823,21
"230","Bío-Bío",4.20292223938645e-05,21
"231","Cachapoal",5.06639485327772e-07,21
"232","Capitán Prat",9.00063245298401e-05,21
"233","Cardenal Caro",0,21
"234","Cauquenes",1.98682155172492e-08,21
"235","Cautín",0.000215974118934052,21
"236","Provincia de Chacabuco",0,21
"237","Chañaral",0,21
"238","Chiloe",0.000103365629968266,21
"239","Choapa",5.53972580853631e-07,21
"240","Colchagua",2.10035409509146e-07,21
"241","Provincia de Concepción",1.66893008923807e-07,21
"242","Copiapó",1.2569687041786e-08,21
"243","Provincia de Cordillera",4.69386563839436e-07,21
"244","Coyhaique",0.000162921747250948,21
"245","Curicó",1.6978292711139e-07,21
"246","Diguillín",9.78509596016863e-07,21
"247","El Loa",0,21
"248","Provincia de Elqui",4.34808234818827e-07,21
"249","General Carrera",3.6048715846055e-05,21
"250","Huasco",5.8993315668396e-07,21
"251","Iquique",1.92059414985124e-05,21
"252","Isla de Pascua",NA,21
"253","Itata",7.94728594044614e-08,21
"254","Limarí",1.00805049753131e-06,21
"255","Linares",1.4404455739303e-07,21
"256","Llanquihue",0.000348851470055077,21
"257","Los Andes",2.60670979770339e-06,21
"258","Magallanes",0.000110125307712896,21
"259","Provincia de Maipo",0,21
"260","Malleco",0.000123962112371848,21
"261","Marga Marga",0,21
"262","Melipilla",0,21
"263","Osorno",0.000181519737225244,21
"264","Palena",0.000473048440583695,21
"265","Parinacota",0,21
"266","Petorca",0,21
"267","Punilla",1.07288359174618e-07,21
"268","Quillota",0,21
"269","Ranco",0.000298779636068502,21
"270","San Antonio",0,21
"271","San Felipe",1.04308128356934e-07,21
"272","Provincia de Santiago",4.84287744484391e-06,21
"273","Talagante",0,21
"274","Talca",6.20881726032252e-08,21
"275","Tamarugal",8.09445770526222e-07,21
"276","Tierra del Fuego",3.15209230475078e-05,21
"277","Tocopilla",2.14667031237716e-06,21
"278","Ultima Esperanza",0.000179477532509568,21
"279","Valdivia",0.000225004885335996,21
"280","Provincia de Valparaíso",0,21
